Date,Region,Product,Salesperson,Units_Sold,Unit_Price,Category,Revenue,Cost,Profit,Month,Year,Month_Name
2024-02-19,SOUTH,Laptop,Alice,8.0,698.0,Electronics,5584.0,4822.815202,761.1847984,2,2024,February
2024-12-25,NORTH,Smartwatch,David,16.0,502.0,Accessories,8032.0,7137.053896,894.9461036,12,2024,December
2024-01-02,WEST,Monitor,Hannah,6.0,495.0,Office,2970.0,2545.76305,424.2369498,1,2024,January
2024-02-23,WEST,Monitor,Charlie,13.0,1650.0,Office,21450.0,13256.24027,8193.759733,2,2024,February
2024-04-15,SOUTH,Camera,Grace,16.0,514.0,Electronics,8224.0,6573.887542,1650.112458,4,2024,April
2024-09-16,SOUTH,Headphones,Hannah,16.0,1038.0,Accessories,16608.0,13874.65077,2733.349226,9,2024,September
2024-11-05,WEST,Smartwatch,Charlie,3.0,1736.0,Accessories,5208.0,4658.965439,549.0345611,11,2024,November
2024-07-09,EAST,Smartwatch,Frank,13.0,776.0,Accessories,10088.0,7186.674957,2901.325043,7,2024,July
2024-08-05,WEST,Laptop,Bob,14.0,562.0,Electronics,7868.0,5121.788499,2746.211501,8,2024,August
2024-02-13,SOUTH,Laptop,Grace,8.0,640.0,Electronics,5120.0,4382.105183,737.8948171,2,2024,February
2024-06-10,NORTH,Smartwatch,David,12.0,1749.0,Accessories,20988.0,14591.6976,6396.302395,6,2024,June
2024-07-20,NORTH,Mobile,Eva,8.0,1742.0,Electronics,13936.0,10862.56249,3073.437514,7,2024,July
2024-09-26,EAST,Smartwatch,Grace,9.0,1487.0,Accessories,13383.0,9595.188489,3787.811511,9,2024,September
2024-12-16,WEST,Camera,Charlie,1.0,1253.0,Electronics,1253.0,903.0344399,349.9655601,12,2024,December
2024-10-30,NORTH,Smartwatch,Eva,6.0,183.0,Accessories,1098.0,900.0737994,197.9262006,10,2024,October
2024-09-27,WEST,Tablet,Charlie,19.0,370.0,Electronics,7030.0,4980.351039,2049.648961,9,2024,September
2024-08-02,SOUTH,Printer,Eva,11.0,343.0,Office,3773.0,3048.29172,724.7082796,8,2024,August
2024-09-08,NORTH,Tablet,David,11.0,487.0,Electronics,5357.0,3237.227261,2119.772739,9,2024,September
2024-07-08,EAST,Tablet,Bob,13.0,313.0,Electronics,4069.0,2837.697069,1231.302931,7,2024,July
2024-10-22,SOUTH,Mobile,David,11.0,917.0,Electronics,10087.0,7017.659143,3069.340857,10,2024,October
2024-07-31,EAST,Mobile,Frank,18.0,1289.0,Electronics,23202.0,19133.54289,4068.457109,7,2024,July
2024-07-26,SOUTH,Monitor,Alice,15.0,1914.0,Office,28710.0,19935.28044,8774.71956,7,2024,July
2024-08-24,NORTH,Smartwatch,Bob,1.0,158.0,Accessories,158.0,124.8197061,33.18029393,8,2024,August
2024-12-03,EAST,Tablet,David,7.0,1725.0,Electronics,12075.0,9739.179647,2335.820353,12,2024,December
2024-02-22,EAST,Mobile,Frank,13.0,982.0,Electronics,12766.0,10181.23815,2584.761851,2,2024,February
2024-10-06,SOUTH,Laptop,Alice,12.0,942.0,Electronics,11304.0,8828.289531,2475.710469,10,2024,October
2024-08-04,EAST,Smartwatch,Frank,18.0,1023.0,Accessories,18414.0,13333.3022,5080.697801,8,2024,August
2024-09-08,SOUTH,Camera,Charlie,19.0,1627.0,Electronics,30913.0,22009.79303,8903.206967,9,2024,September
2024-07-06,SOUTH,Printer,Hannah,15.0,1829.0,Office,27435.0,21107.80909,6327.190908,7,2024,July
2024-02-10,SOUTH,Headphones,Charlie,8.0,222.0,Accessories,1776.0,1099.541013,676.458987,2,2024,February
2024-06-05,SOUTH,Smartwatch,Eva,19.0,1771.0,Accessories,33649.0,29030.53856,4618.46144,6,2024,June
2024-01-15,NORTH,Headphones,Bob,10.0,1536.0,Accessories,15360.0,13019.05218,2340.947821,1,2024,January
2024-10-27,SOUTH,Tablet,Charlie,7.0,1262.0,Electronics,8834.0,6218.388777,2615.611223,10,2024,October
2024-03-05,WEST,Printer,Grace,18.0,1352.0,Office,24336.0,18739.83306,5596.166944,3,2024,March
2024-12-10,EAST,Headphones,Frank,16.0,1397.0,Accessories,22352.0,19662.34605,2689.653947,12,2024,December
2024-11-22,WEST,Tablet,Bob,6.0,538.0,Electronics,3228.0,2199.853075,1028.146925,11,2024,November
2024-01-09,NORTH,Laptop,Hannah,9.0,1121.0,Electronics,10089.0,8300.589359,1788.410641,1,2024,January
2024-12-09,WEST,Headphones,Grace,13.0,661.0,Accessories,8593.0,5369.074326,3223.925674,12,2024,December
2024-05-08,EAST,Printer,Charlie,8.0,217.0,Office,1736.0,1314.172214,421.8277856,5,2024,May
2024-03-03,NORTH,Smartwatch,David,13.0,1004.0,Accessories,13052.0,9991.472873,3060.527127,3,2024,March
2024-05-18,SOUTH,Tablet,Eva,13.0,1606.0,Electronics,20878.0,16386.63796,4491.362044,5,2024,May
2024-03-21,WEST,Smartwatch,Grace,17.0,494.0,Accessories,8398.0,7325.506436,1072.493564,3,2024,March
2024-06-11,NORTH,Printer,Alice,5.0,1826.0,Office,9130.0,7437.372793,1692.627207,6,2024,June
2024-10-15,NORTH,Mobile,Charlie,17.0,975.0,Electronics,16575.0,13405.21198,3169.788015,10,2024,October
2024-09-17,EAST,Tablet,Grace,9.0,1583.0,Electronics,14247.0,11054.46395,3192.536051,9,2024,September
2024-08-18,EAST,Headphones,Alice,2.0,1958.0,Accessories,3916.0,3093.235024,822.764976,8,2024,August
2024-02-10,WEST,Tablet,Alice,18.0,1816.0,Electronics,32688.0,27494.25687,5193.74313,2,2024,February
2024-01-28,SOUTH,Smartwatch,Frank,9.0,1034.0,Accessories,9306.0,8317.422922,988.5770781,1,2024,January
2024-05-14,NORTH,Laptop,Bob,6.0,1201.0,Electronics,7206.0,6042.93435,1163.06565,5,2024,May
2024-07-19,WEST,Tablet,Frank,11.0,1051.0,Electronics,11561.0,9390.549993,2170.450007,7,2024,July
2024-11-23,NORTH,Headphones,Charlie,6.0,1535.0,Accessories,9210.0,5900.510513,3309.489487,11,2024,November
2024-09-24,NORTH,Mobile,Alice,6.0,174.0,Electronics,1044.0,882.3095773,161.6904227,9,2024,September
2024-02-02,SOUTH,Monitor,Hannah,13.0,394.0,Office,5122.0,4204.128945,917.8710551,2,2024,February
2024-02-17,SOUTH,Camera,Grace,11.0,1916.0,Electronics,21076.0,17516.88869,3559.111315,2,2024,February
2024-03-02,WEST,Laptop,David,14.0,120.0,Electronics,1680.0,1124.472625,555.527375,3,2024,March
2024-08-03,SOUTH,Monitor,Alice,2.0,1294.0,Office,2588.0,2254.233686,333.766314,8,2024,August
2024-04-08,WEST,Tablet,Hannah,10.0,1334.0,Electronics,8268.0,6014.593046,1928.596208,4,2024,April
2024-06-20,SOUTH,Smartwatch,David,3.0,659.0,Accessories,1977.0,1579.439201,397.5607987,6,2024,June
2024-12-25,EAST,Printer,Frank,1.0,1209.0,Office,1209.0,969.756236,239.243764,12,2024,December
2024-08-01,NORTH,Smartwatch,Frank,19.0,1272.0,Accessories,24168.0,16772.52844,7395.471564,8,2024,August
2024-08-14,NORTH,Headphones,Grace,17.0,471.0,Accessories,8007.0,5736.047945,2270.952055,8,2024,August
2024-04-10,NORTH,Smartwatch,Alice,13.0,1603.0,Accessories,20839.0,12504.49727,8334.502728,4,2024,April
2024-05-10,WEST,Laptop,Eva,3.0,1073.5,Electronics,8268.0,6014.593046,1928.596208,5,2024,May
2024-09-13,NORTH,Smartwatch,Frank,1.0,1274.0,Accessories,1274.0,1101.736705,172.2632952,9,2024,September
2024-01-05,NORTH,Headphones,Frank,4.0,1264.0,Accessories,5056.0,3371.382277,1684.617723,1,2024,January
2024-08-05,NORTH,Camera,Bob,13.0,1192.0,Electronics,15496.0,9822.497583,5673.502417,8,2024,August
2024-09-11,NORTH,Tablet,David,17.0,1383.0,Electronics,23511.0,18918.36553,4592.634466,9,2024,September
2024-12-24,EAST,Printer,Bob,11.0,945.0,Office,10395.0,7611.343041,2783.656959,12,2024,December
2024-10-09,NORTH,Monitor,Hannah,2.0,620.0,Office,1240.0,1040.331828,199.6681717,10,2024,October
2024-07-25,EAST,Tablet,Alice,16.0,1756.0,Electronics,28096.0,24118.54706,3977.452936,7,2024,July
2024-01-15,WEST,Smartwatch,Grace,2.0,470.0,Accessories,940.0,802.5688634,137.4311366,1,2024,January
2024-12-11,SOUTH,Mobile,Charlie,19.0,1542.0,Electronics,29298.0,20329.96323,8968.036769,12,2024,December
2024-02-11,NORTH,Tablet,Charlie,19.0,200.0,Electronics,3800.0,2856.322369,943.6776307,2,2024,February
2024-06-27,SOUTH,Camera,Grace,16.0,760.0,Electronics,12160.0,9667.717048,2492.282952,6,2024,June
2024-03-03,SOUTH,Smartwatch,David,19.0,1781.0,Accessories,33839.0,23572.07571,10266.92429,3,2024,March
2024-08-18,SOUTH,Headphones,Frank,1.0,1067.0,Accessories,1067.0,798.8621688,268.1378312,8,2024,August
2024-08-28,EAST,Camera,David,10.0,342.0,Electronics,3420.0,2065.15161,1354.84839,8,2024,August
2024-02-21,SOUTH,Smartwatch,Frank,19.0,852.0,Accessories,16188.0,14329.51541,1858.484588,2,2024,February
2024-08-09,SOUTH,Tablet,Charlie,2.0,948.0,Electronics,1896.0,1246.815161,649.1848391,8,2024,August
2024-08-18,NORTH,Printer,David,16.0,654.0,Office,10464.0,7181.145234,3282.854766,8,2024,August
2024-08-24,NORTH,Headphones,Hannah,12.0,1218.0,Accessories,14616.0,13079.15047,1536.849535,8,2024,August
2024-05-22,EAST,Smartwatch,Bob,10.0,325.0,Accessories,8268.0,6014.593046,1928.596208,5,2024,May
2024-06-19,EAST,Laptop,Frank,18.0,1641.0,Electronics,29538.0,24667.6773,4870.322702,6,2024,June
2024-01-29,NORTH,Monitor,Eva,2.0,313.0,Office,626.0,459.511945,166.488055,1,2024,January
2024-02-05,EAST,Headphones,Eva,13.0,817.0,Accessories,10621.0,9125.868843,1495.131157,2,2024,February
2024-01-13,NORTH,Laptop,Bob,6.0,166.0,Electronics,996.0,807.8815482,188.1184518,1,2024,January
2024-06-08,WEST,Camera,Eva,6.0,495.0,Electronics,2970.0,1802.412863,1167.587137,6,2024,June
2024-11-22,SOUTH,Mobile,Alice,10.0,711.0,Electronics,8268.0,6014.593046,1928.596208,11,2024,November
2024-07-05,SOUTH,Headphones,Frank,16.0,1135.0,Accessories,18160.0,13935.94213,4224.057868,7,2024,July
2024-08-30,EAST,Camera,Bob,11.0,1360.0,Electronics,14960.0,13132.66911,1827.33089,8,2024,August
2024-03-26,NORTH,Laptop,David,7.0,1957.0,Electronics,13699.0,8638.712258,5060.287742,3,2024,March
2024-10-10,NORTH,Tablet,Frank,10.0,869.0,Electronics,8690.0,6781.230736,1908.769264,10,2024,October
2024-03-06,EAST,Tablet,Bob,10.0,1522.0,Electronics,15220.0,10511.73896,4708.261044,3,2024,March
2024-02-14,WEST,Monitor,Hannah,9.0,1024.0,Office,9216.0,7645.140937,1570.859063,2,2024,February
2024-03-02,SOUTH,Headphones,David,15.0,1972.0,Accessories,29580.0,21028.74196,8551.258045,3,2024,March
2024-05-13,EAST,Headphones,Hannah,4.0,1603.0,Accessories,6412.0,4168.639646,2243.360354,5,2024,May
2024-10-10,EAST,Headphones,Charlie,8.0,746.0,Accessories,5968.0,3601.38597,2366.61403,10,2024,October
2024-01-28,NORTH,Monitor,Frank,9.0,321.0,Office,2889.0,2271.737228,617.2627716,1,2024,January
2024-04-17,EAST,Camera,David,13.0,1279.0,Electronics,16627.0,12001.98616,4625.013835,4,2024,April
2024-02-13,WEST,Printer,Hannah,9.0,753.0,Office,6777.0,4706.131426,2070.868574,2,2024,February
2024-12-05,NORTH,Printer,Eva,4.0,527.0,Office,2108.0,1888.031649,219.9683508,12,2024,December
2024-10-12,NORTH,Mobile,Hannah,17.0,1281.0,Electronics,21777.0,16111.55319,5665.446814,10,2024,October
2024-11-26,NORTH,Headphones,Bob,16.0,1076.0,Accessories,17216.0,14202.36993,3013.630068,11,2024,November
2024-05-07,NORTH,Camera,Frank,15.0,1539.0,Electronics,23085.0,15079.6697,8005.330304,5,2024,May
2024-12-13,WEST,Tablet,Alice,3.0,1073.5,Electronics,8268.0,6014.593046,1928.596208,12,2024,December
2024-08-18,NORTH,Laptop,Hannah,5.0,1449.0,Electronics,7245.0,5254.572353,1990.427647,8,2024,August
2024-07-08,EAST,Camera,David,5.0,470.0,Electronics,2350.0,1879.293709,470.7062914,7,2024,July
2024-08-12,WEST,Monitor,David,15.0,1467.0,Office,22005.0,16547.31129,5457.688707,8,2024,August
2024-10-09,SOUTH,Printer,Grace,18.0,1385.0,Office,24930.0,21617.79714,3312.202859,10,2024,October
2024-04-30,SOUTH,Printer,Hannah,15.0,1406.0,Office,21090.0,15399.78735,5690.212645,4,2024,April
2024-04-25,EAST,Tablet,Frank,2.0,949.0,Electronics,1898.0,1315.885002,582.1149982,4,2024,April
2024-08-20,EAST,Tablet,Frank,13.0,955.0,Electronics,12415.0,10860.82329,1554.176705,8,2024,August
2024-09-15,WEST,Monitor,Charlie,4.0,328.0,Office,1312.0,947.3173769,364.6826231,9,2024,September
2024-12-24,SOUTH,Laptop,Grace,10.0,379.0,Electronics,3790.0,2580.589619,1209.410381,12,2024,December
2024-07-16,SOUTH,Tablet,Hannah,13.0,1993.0,Electronics,25909.0,16304.49025,9604.509748,7,2024,July
2024-05-16,SOUTH,Mobile,Eva,10.0,1413.0,Electronics,8268.0,6014.593046,1928.596208,5,2024,May
2024-11-13,SOUTH,Laptop,Charlie,9.0,1803.0,Electronics,16227.0,13752.82774,2474.17226,11,2024,November
2024-06-13,SOUTH,Tablet,Grace,8.0,1170.0,Electronics,9360.0,5709.500176,3650.499824,6,2024,June
2024-08-12,NORTH,Smartwatch,Hannah,3.0,1074.0,Accessories,3222.0,2279.866835,942.1331646,8,2024,August
2024-11-02,EAST,Camera,Hannah,16.0,1838.0,Electronics,29408.0,24260.51003,5147.489967,11,2024,November
2024-08-21,NORTH,Tablet,Charlie,14.0,1337.0,Electronics,18718.0,16545.11263,2172.887374,8,2024,August
2024-06-20,SOUTH,Mobile,Eva,9.0,857.0,Electronics,7713.0,5502.033727,2210.966273,6,2024,June
2024-05-31,WEST,Headphones,Grace,11.0,1147.0,Accessories,12617.0,10871.00944,1745.990557,5,2024,May
2024-11-10,WEST,Tablet,Hannah,3.0,420.0,Electronics,1260.0,904.8263137,355.1736863,11,2024,November
2024-06-08,SOUTH,Printer,Hannah,5.0,373.0,Office,1865.0,1219.427244,645.5727561,6,2024,June
2024-08-20,WEST,Printer,Alice,13.0,943.0,Office,12259.0,8569.706749,3689.293251,8,2024,August
2024-06-28,NORTH,Headphones,Charlie,4.0,1436.0,Accessories,5744.0,4098.588207,1645.411793,6,2024,June
2024-04-22,NORTH,Printer,Charlie,13.0,1486.0,Office,19318.0,17068.13413,2249.865873,4,2024,April
2024-11-13,SOUTH,Smartwatch,David,12.0,767.0,Accessories,9204.0,6091.401181,3112.598819,11,2024,November
2024-09-24,WEST,Monitor,Bob,10.0,479.0,Office,4790.0,2910.146485,1879.853515,9,2024,September
2024-10-21,NORTH,Printer,Alice,9.0,1073.5,Office,8268.0,6014.593046,1928.596208,10,2024,October
2024-04-22,SOUTH,Laptop,Grace,7.0,1797.0,Electronics,12579.0,11000.86848,1578.131517,4,2024,April
2024-04-10,WEST,Monitor,Grace,2.0,1593.0,Office,3186.0,2138.908975,1047.091025,4,2024,April
2024-04-22,NORTH,Headphones,Grace,7.0,845.0,Accessories,5915.0,4310.251824,1604.748176,4,2024,April
2024-07-05,WEST,Laptop,Hannah,7.0,215.0,Electronics,1505.0,1109.261197,395.7388032,7,2024,July
2024-04-22,WEST,Laptop,Grace,14.0,704.0,Electronics,9856.0,6307.866997,3548.133003,4,2024,April
2024-01-02,EAST,Laptop,Grace,19.0,1073.5,Electronics,8268.0,6014.593046,1928.596208,1,2024,January
2024-05-09,EAST,Laptop,Eva,5.0,1919.0,Electronics,9595.0,7871.609543,1723.390457,5,2024,May
2024-08-07,WEST,Monitor,Frank,18.0,478.0,Office,8604.0,6590.68837,2013.31163,8,2024,August
2024-02-23,EAST,Monitor,Frank,12.0,1845.0,Office,22140.0,14912.74844,7227.25156,2,2024,February
2024-12-08,SOUTH,Tablet,David,17.0,1329.0,Electronics,22593.0,15953.79381,6639.20619,12,2024,December
2024-08-12,SOUTH,Camera,Grace,2.0,1855.0,Electronics,3710.0,2882.39778,827.60222,8,2024,August
2024-05-05,WEST,Tablet,Eva,13.0,379.0,Electronics,4927.0,3158.366814,1768.633186,5,2024,May
2024-05-09,EAST,Tablet,Grace,7.0,1771.0,Electronics,12397.0,10580.65159,1816.348413,5,2024,May
2024-02-22,EAST,Smartwatch,David,10.0,717.0,Accessories,7170.0,5324.13135,1845.86865,2,2024,February
2024-06-20,NORTH,Smartwatch,Alice,6.0,217.0,Accessories,1302.0,844.6214191,457.3785809,6,2024,June
2024-08-05,NORTH,Printer,Alice,3.0,1360.0,Office,4080.0,2598.339688,1481.660312,8,2024,August
2024-06-08,EAST,Camera,Hannah,3.0,408.0,Electronics,1224.0,1088.950612,135.0493884,6,2024,June
2024-07-16,EAST,Smartwatch,Bob,18.0,1579.0,Accessories,28422.0,19453.73728,8968.262721,7,2024,July
2024-09-03,EAST,Printer,Frank,11.0,1598.0,Office,17578.0,15338.17743,2239.822573,9,2024,September
2024-07-21,EAST,Monitor,Charlie,19.0,360.0,Office,6840.0,4895.910775,1944.089225,7,2024,July
2024-05-02,WEST,Monitor,Charlie,15.0,1428.0,Office,21420.0,12915.51001,8504.489993,5,2024,May
2024-09-11,EAST,Camera,Bob,16.0,1477.0,Electronics,23632.0,16576.11947,7055.880527,9,2024,September
2024-10-20,NORTH,Smartwatch,Bob,9.0,385.0,Accessories,3465.0,2393.600218,1071.399782,10,2024,October
2024-10-06,WEST,Camera,Grace,4.0,-10.0,Electronics,-40.0,-34.41717713,-5.582822869,10,2024,October
2024-11-20,EAST,Tablet,David,15.0,1226.0,Electronics,18390.0,13953.17456,4436.825435,11,2024,November
2024-04-07,EAST,Tablet,Bob,12.0,162.0,Electronics,1944.0,1379.017316,564.9826843,4,2024,April
2024-07-16,EAST,Camera,Bob,3.0,786.0,Electronics,2358.0,1603.024504,754.9754959,7,2024,July
2024-08-27,WEST,Mobile,Charlie,14.0,1405.0,Electronics,19670.0,15286.59838,4383.401618,8,2024,August
2024-05-23,NORTH,Mobile,David,17.0,1564.0,Electronics,26588.0,17162.60564,9425.394362,5,2024,May
2024-04-06,NORTH,Monitor,Bob,19.0,1416.0,Office,26904.0,18129.56793,8774.432072,4,2024,April
2024-07-19,SOUTH,Camera,Frank,6.0,837.0,Electronics,5022.0,3455.556088,1566.443912,7,2024,July
2024-05-03,EAST,Smartwatch,Hannah,4.0,1130.0,Accessories,4520.0,3536.324533,983.675467,5,2024,May
2024-07-05,SOUTH,Monitor,Bob,7.0,738.0,Office,5166.0,3678.070535,1487.929465,7,2024,July
2024-11-21,SOUTH,Headphones,Hannah,19.0,1035.0,Accessories,19665.0,14782.86858,4882.131421,11,2024,November
2024-12-14,NORTH,Mobile,David,17.0,1215.0,Electronics,20655.0,16423.4407,4231.559299,12,2024,December
2024-09-15,WEST,Laptop,Grace,16.0,1313.0,Electronics,21008.0,18631.60614,2376.393863,9,2024,September
2024-05-27,WEST,Monitor,Eva,10.0,1994.0,Office,8268.0,6014.593046,1928.596208,5,2024,May
2024-09-08,NORTH,Tablet,David,8.0,575.0,Electronics,4600.0,3319.254357,1280.745643,9,2024,September
2024-12-11,WEST,Monitor,Charlie,19.0,1634.0,Office,31046.0,25596.88718,5449.112818,12,2024,December
2024-05-26,SOUTH,Camera,Eva,8.0,1585.0,Electronics,12680.0,11220.63666,1459.363336,5,2024,May
2024-05-27,EAST,Laptop,Frank,18.0,152.0,Electronics,2736.0,2051.491552,684.5084481,5,2024,May
2024-12-17,NORTH,Camera,Alice,16.0,853.0,Electronics,13648.0,9869.538643,3778.461357,12,2024,December
2024-07-17,EAST,Printer,Hannah,19.0,585.0,Office,11115.0,6929.153352,4185.846648,7,2024,July
2024-11-03,WEST,Tablet,Hannah,10.0,1767.0,Electronics,17670.0,15332.45533,2337.544665,11,2024,November
2024-05-07,EAST,Tablet,Hannah,17.0,1613.0,Electronics,27421.0,18479.84232,8941.157676,5,2024,May
2024-02-08,WEST,Mobile,David,13.0,1487.0,Electronics,19331.0,11969.51103,7361.488969,2,2024,February
2024-12-03,WEST,Monitor,Hannah,13.0,1235.0,Office,16055.0,12220.44059,3834.559407,12,2024,December
2024-12-25,SOUTH,Mobile,Grace,7.0,508.0,Electronics,3556.0,3036.005742,519.9942577,12,2024,December
2024-05-08,WEST,Laptop,Hannah,10.0,1130.0,Electronics,11300.0,8158.492839,3141.507161,5,2024,May
2024-09-23,SOUTH,Monitor,Charlie,2.0,1865.0,Office,3730.0,3114.252499,615.7475009,9,2024,September
2024-05-30,SOUTH,Printer,Frank,4.0,767.0,Office,3068.0,2610.618885,457.3811149,5,2024,May
